dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt,fix_share
9913f136f555e8d180895e7b13f3cc29,2024-11-21,"Data types, text & collation",8,true,1,0.125000
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Execution & correctness,2,true,1,0.125000
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Indexes,3,true,2,0.250000
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Replication & recovery,5,true,2,0.250000
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Build & platform,12,false,7,0.098592
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Client interfaces,10,false,7,0.098592
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Client tools,9,false,5,0.070423
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,"Concurrency, locking & crashes",6,false,10,0.140845
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,"Data types, text & collation",8,false,5,0.070423
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Execution & correctness,2,false,12,0.169014
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Indexes,3,false,6,0.084507
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,"Numeric, overflow & limits",7,false,5,0.070423
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Partitioning & inheritance,4,false,2,0.028169
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Planner & optimizer,1,false,4,0.056338
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Replication & recovery,5,false,6,0.084507
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,"Storage, vacuum & TOAST",13,false,2,0.028169
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Build & platform,12,false,9,0.126761
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Client interfaces,10,false,6,0.084507
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Client tools,9,false,10,0.140845
b1036aa132d59c6301b245e14d25cebd,2025-08-14,"Concurrency, locking & crashes",6,false,6,0.084507
