bug_number,reporter_person_key,reported_date_key,reported_dt,subject,thread_message_cnt,thread_size_window,is_acted_upon,outcome,linked_via,first_commit_dt,days_to_commit,days_to_commit_window,earliest_ship_release_dt
19422,eabfdce72b44b06af6191e539dfc4ec0,20260302,2026-03-02,"BUG #19422: Malformed raius packet",3,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19423,a44533343f94f34fc4c0ce26a21d0723,20260303,2026-03-03,"BUG #19423: canonicalize_path does not function correctly when processing paths that contain . and ..",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19424,c327e22432f37c5ba4c8a40771e9a8da,20260303,2026-03-03,"BUG #19424: Concurrent PQconnectdb() calls hang on Windows",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19425,d91686500d47bd0da0be04a1c85afc42,20260304,2026-03-04,"BUG #19425: Parametric settings in collation not working in rule syntax",2,2: 2-3 messages,true,linked to a fix commit,both,2026-03-18,14,3: within a month,2026-05-14
19426,76e70d1e2afe667d1c56eb33ef2e7e52,20260307,2026-03-07,"BUG #19426: pgdump is stuck",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19427,1f879cd13b75f9f492de248ac648a0ae,20260311,2026-03-11,"BUG #19427: TOAST Snapshot Assertion Failure",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19428,ac62f14c922174576d483ce5ec8210b7,20260311,2026-03-11,"BUG #19428: Lazy evaluation of type checking in CASE in SQL functions including subqueries no longer works in 18",8,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19429,fd3faa1d18caa09fefad28bc942c83b4,20260312,2026-03-12,"BUG #19429: An issue regarding the processing of Oid as an int type in ecpg",2,2: 2-3 messages,true,linked to a fix commit,both,2026-03-15,3,2: within a week,2026-05-14
19430,8106999e6bbb69e8f167f6ca5b049165,20260312,2026-03-12,"BUG #19430: Autovacuums stopped working possible due to problem with vacuuming shared catalog pg_authid",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19431,6e6faf8811f1e1415403a967a44e9522,20260312,2026-03-12,"BUG #19431: limitation of the data type jsonb equals 8Kb",4,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19432,0c30d736ba87541f0547a27ce89a6262,20260312,2026-03-12,"BUG #19432: recovery fails at invalid checkpoint record",6,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19433,1f879cd13b75f9f492de248ac648a0ae,20260313,2026-03-13,"BUG #19433: json_object_agg_unique Crashes When Used as Window Function",3,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19434,4c4df546985b22ecc0ab9fc9c130b521,20260315,2026-03-15,"BUG #19434: adding WHERE to a publication can cause UPDATEs and DELETEs to fail on the source table",4,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19435,645d30400a760b0217caa913a8be9340,20260316,2026-03-16,"BUG #19435: Error: ""No relation entry for relid 2"" Triggered by Complex Join with Self-Referencing Tables",35,4: 11+ messages,true,linked to a fix commit,both,2026-03-20,4,2: within a week,2026-05-14
19436,d7c38897d57843996323ba07a6ed8ac8,20260317,2026-03-17,"BUG #19436: Azure Arc installation failure",4,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19437,7e6d7180581678513ae9a77e5dfc4ffb,20260325,2026-03-25,"BUG #19437: temp_tablespaces doesn't work inside a cursor?",6,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19438,7e6d7180581678513ae9a77e5dfc4ffb,20260325,2026-03-25,"BUG #19438: segfault with temp_file_limit inside cursor",14,4: 11+ messages,true,linked to a fix commit,both,2026-03-30,5,2: within a week,2026-05-14
