bug_number,reported_dt,subject,thread_message_cnt,is_acted_upon,linked_via,first_commit_dt,days_to_commit
17379,2022-01-24,"BUG #17379: Cannot issue multi-command statements using a replication connection",3,true,both,2022-01-24,0
17381,2022-01-25,"BUG #17381: psql: error: connection to server on socket ""/var/run/postgresql/.s.PGSQL.5432"" After installing",2,false,,,
17382,2022-01-26,"BUG #17382: When vacuum full or vacuumdb - F is executed, a large number of empty files will be generated in the",5,false,,,
17384,2022-01-27,"BUG #17384: ERROR: missing chunk number 0 for toast value 152073604 in pg_toast_2619",4,false,,,
17385,2022-01-28,"BUG #17385: ""RESET transaction_isolation"" inside serializable transaction causes Assert at the transaction end",44,true,both,2022-09-27,242
17386,2022-01-28,"BUG #17386: btree index corruption after reindex concurrently on write heavy table",9,false,,,
17387,2022-01-28,"BUG #17387: Working in PG13 but not in PGH14: array_agg(RECORD)",7,true,both,2022-01-29,1
17388,2022-01-31,"BUG #17388: postgis cant be installed on postgres 11 and centos 7",3,false,,,
17389,2022-01-31,"BUG #17389: pg_repack creates race conditions on streaming replicas",5,false,,,
17390,2022-02-01,"BUG #17390: Function, to_date() -- unexpected values and a request",4,false,,,
17391,2022-02-02,"BUG #17391: While using --with-ssl=openssl and PG_TEST_EXTRA='ssl' options, SSL tests fail on OpenBSD 7.0",44,true,both,2022-02-10,8
17392,2022-02-03,"BUG #17392: archiver process exited with exit code 2 was unexpectedly cause for immediate shutdown request",5,false,,,
17393,2022-02-03,"BUG #17393: Delete database after recovery with point-in-time is still missing datafiles",8,false,,,
17394,2022-02-03,"BUG #17394: pg_dump: query returned 0 rows instead of one:",5,false,,,
17395,2022-02-05,"BUG #17395: Assert failed on merge join when foreign range partition contains out-of-range value",2,true,both,2022-02-05,0
17396,2022-02-07,"BUG #17396: Missing pckages to instal Patroni",1,false,,,
17398,2022-02-07,"BUG #17398: Casts from BYTEA to TEXT and FLOAT4/8 to TEXT should not be immutable",1,false,,,
17399,2022-02-08,"BUG #17399: Dead tuple number stats not updated on long running queries",6,false,,,
17401,2022-02-08,"BUG #17401: REINDEX TABLE CONCURRENTLY creates a race condition on a streaming replica",25,false,,,
17402,2022-02-10,"BUG #17402: RPM packages are not signed",1,false,,,
17403,2022-02-10,"BUG #17403: Package postgresql13-13.6-1PGDG.rhel7.x86_64.rpm is not signed",1,false,,,
17404,2022-02-15,"BUG #17404: CREATE OR REPLACE VIEW does not properly change the COLLATION of an existing field.",4,true,both,2022-02-15,0
17405,2022-02-15,"BUG #17405: Minor upgrade from 12.9 to 12.10 works fine, but PSQL version shows ""12.9""",5,false,,,
17406,2022-02-15,"BUG #17406: Segmentation fault on GiST index after 14.2 upgrade",15,true,discussion_link,2022-03-16,29
17407,2022-02-16,"BUG #17407: trim trims more than expected",3,false,,,
17408,2022-02-16,"BUG #17408: Duplicate aliases silently fail",5,false,,,
17409,2022-02-16,"BUG #17409: Unable to alter data type of clustered column which is referenced by foreign key",16,true,both,2022-03-11,23
17410,2022-02-18,"BUG #17410: After upgrade to postgresql 12.9 from 12.6 , some of the statements having ”=” operator not returnin",3,false,,,
17412,2022-02-21,"BUG #17412: CREATE INDEX on a partitioned table doesn't recognize existing partial indexes on partitions",1,false,,,
17413,2022-02-22,"BUG #17413: update of partitioned table via postgres_fdw updates to much rows",4,false,,,
17414,2022-02-23,"BUG #17414: install failed",1,false,,,
17415,2022-02-23,"BUG #17415: Unable to use underscore as first character in set_config custom parameter",3,true,both,2022-02-23,0
17416,2022-02-23,"BUG #17416: Server crashes due to python3 stack overflow on executing multiple plpy.rollback() calls",2,true,discussion_link,2022-02-28,5
17421,2022-02-27,"BUG #17421: Core dump in ECPGdo() when calling PostgreSQL API from 32-bit client for RHEL8",10,true,both,2022-06-06,99
17422,2022-03-01,"BUG #17422: Memory leak",2,false,,,
17424,2022-03-02,"BUG #17424: Build failed on disabled GNUC in Clang environment CFLAGS= -O2 -fgnuc-version=0",2,false,,,
17425,2022-03-04,"BUG #17425: Postgres service does not start if path to data folder ends with backslash.",1,false,,,
17427,2022-03-06,"BUG #17427: ERROR: cannot cast type bytea to bigint",2,false,,,
17428,2022-03-07,"BUG #17428: last_value incorrect for uninitialized sequence",6,false,,,
17431,2022-03-09,"BUG #17431: How to change postgres path to recognize pearl installation",1,false,,,
17432,2022-03-10,"BUG #17432: libraries are missing when installing postGIS in SLES15 SP3, some are part of SLES15 SP4 some not",1,false,,,
17434,2022-03-11,"BUG #17434: CREATE/DROP DATABASE can be executed in the same transaction with other commands",35,true,both,2022-07-26,137
17435,2022-03-11,"BUG #17435: ""add column if not exists"" always adds new FK on the column",2,false,,,
17436,2022-03-12,"BUG #17436: Initializing and starting with Dockerfile fails",4,false,,,
17437,2022-03-13,"BUG #17437: time spent in JIT is also attributed to function scan",1,false,,,
17438,2022-03-14,"BUG #17438: Logical replication hangs on master after huge DB load",6,false,,,
17439,2022-03-15,"BUG #17439: DROP FUNCTION functionName(); drops associated generated column without using CASCADE",9,true,both,2022-03-21,6
17440,2022-03-15,"BUG #17440: not expected result from jsonb_path_query",2,false,,,
17441,2022-03-20,"BUG #17441: shm_mq receive less data than the sender sends",3,false,,,
17442,2022-03-20,"BUG #17442: Wrong partition pruning when using prepared statement and huge RAM consumption",1,false,,,
